text,label,category
The Centers for Disease Control and Prevention issued updated guidance on seasonal influenza vaccination for the upcoming winter season.,0,health
Government agencies stated that NASA's Curiosity rover identified diverse organic molecules in rock samples collected at Gale Crater on Mars.,0,science
The Reserve Bank of India announced that 93 percent of discontinued 2000 rupee notes had returned to the banking system.,0,economy
"SHARE BEFORE DELETED: URGENT ALERT: Drinking boiled garlic water with lemon cures all stages of cancer within 48 hours, according to banned secret doctors!",1,health
Subliminal frequencies in television weather forecasts are causing spontaneous sleepwalking among residential neighborhoods.,1,technology
MUST WATCH: Global billionaire cabal caught on camera admitting they invented winter weather to sell electric heaters and manipulate fossil fuels!,1,conspiracy
"100% EXPOSED: Astronomers confirm a rogue planet named Nibiru will collide with Earth next Tuesday, causing worldwide electromagnetic blackouts!",1,science
TERRIFYING TRUTH REVEALED: EXPOSED: Secret underground tunnels discovered connecting Washington DC directly to the Vatican for covert currency shipments.,1,politics
THEY DONT WANT YOU TO KNOW: The Government has officially banned all 500 rupee banknotes starting midnight today and will seize bank accounts of non-compliant citizens.,1,economy
"Official report indicates: Elections Canada reported an official voter turnout of 62 percent in the general election, with certified ballots finalized.",0,politics
Reuters and AP confirmed that Astronomers detected high-energy neutrinos originating from the active galaxy NGC 1068 using the IceCube Neutrino Observatory in Antarctica.,0,science
MUST WATCH: Smartphones now emit invisible ultrasonic pulses that erase personal memories whenever users browse political news.,1,technology
100% EXPOSED: New government bill mandates mandatory barcode tattoos on citizens' foreheads to enter grocery stores and public parks.,1,politics
Reuters and AP confirmed that A new high-speed rail line connecting major metropolitan hubs commenced commercial passenger operations after comprehensive safety certification.,0,transportation
Official report indicates: A new high-speed rail line connecting major metropolitan hubs commenced commercial passenger operations after comprehensive safety certification.,0,transportation
Military generals revealed that microchips are hidden inside standard toothpastes to track citizen movements without satellite radar.,1,technology
"TERRIFYING TRUTH REVEALED: Ancient pyramid discovered beneath Antarctica ice sheet proves humans lived with dinosaurs 5,000 years ago.",1,science
"In a public statement, officials confirmed that Elections Canada reported an official voter turnout of 62 percent in the general election, with certified ballots finalized.",0,politics
"Reuters and AP confirmed that The Ministry of Health confirmed 1,200 new dengue cases across regional hospitals, urging residents to eliminate stagnant water containers.",0,health
TERRIFYING TRUTH REVEALED: BREAKING: WHO secretly voted to dissolve all national sovereignty and will replace world governments with an unelected global council next month!,1,politics
"THEY DONT WANT YOU TO KNOW: Secret cure for diabetes discovered in Himalayan tree bark, but major pharmaceutical corporations are assassinating anyone who speaks out!",1,health
Reuters and AP confirmed that The Federal Reserve held its benchmark interest rate steady following the two-day Federal Open Market Committee meeting in Washington.,0,economy
100% EXPOSED: Drinking magnetic water reverses aging process by 25 years in 3 days according to suppressed Nobel Prize winner.,1,health
Government agencies stated that The Bank of England raised interest rates by 25 basis points in an effort to bring inflation down toward its 2 percent target.,0,economy
Reuters and AP confirmed that Researchers at MIT and Harvard published peer-reviewed findings showing improved efficiency in perovskite tandem solar cells exceeding 30% conversion rate.,0,technology
"In a public statement, officials confirmed that United Nations climate summit delegates reached an agreement on operationalizing the Loss and Damage fund for vulnerable nations affected by severe weather.",0,environment
"In a public statement, officials confirmed that Researchers at MIT and Harvard published peer-reviewed findings showing improved efficiency in perovskite tandem solar cells exceeding 30% conversion rate.",0,technology
SHARE BEFORE DELETED: SHOCKING: NASA discovered alien civilizations on Mars and has been secretly hiding underground cities beneath Martian craters for decades!,1,science
India's space agency ISRO successfully launched the Aditya-L1 spacecraft to study the Sun from the Lagrange point L1.,0,science
"NASA rover photographed traffic lights and paved highways on the far side of Mars, confirming alien rush hour.",1,science
"THEY DONT WANT YOU TO KNOW: Astronomers confirm a rogue planet named Nibiru will collide with Earth next Tuesday, causing worldwide electromagnetic blackouts!",1,science
The Supreme Court ruled unanimously in favor of protecting digital privacy on mobile communication devices under the Fourth Amendment.,0,politics
"In a public statement, officials confirmed that The European Space Agency confirmed that the Euclid telescope has captured its first full-color images of the cosmos, revealing billions of galaxies across 10 billion light-years.",0,science
SHARE BEFORE DELETED: Eating two raw onions before sleeping creates an invisible bio-shield that repels all viral infections and radiation waves.,1,health
Reuters and AP confirmed that The Bank of England raised interest rates by 25 basis points in an effort to bring inflation down toward its 2 percent target.,0,economy
"Official report indicates: The European Space Agency confirmed that the Euclid telescope has captured its first full-color images of the cosmos, revealing billions of galaxies across 10 billion light-years.",0,science
"In a public statement, officials confirmed that The Ministry of Health confirmed 1,200 new dengue cases across regional hospitals, urging residents to eliminate stagnant water containers.",0,health
100% EXPOSED: Scientific study reveals that human DNA changes into reptile genetics if you consume genetically modified corn or artificial sweeteners.,1,science
MUST WATCH: Leaked documents prove 5G cellular towers are transmitting frequencies designed to mind-control the global population during full moons.,1,technology
TERRIFYING TRUTH REVEALED: SHOCKING: NASA discovered alien civilizations on Mars and has been secretly hiding underground cities beneath Martian craters for decades!,1,science
MUST WATCH: New government bill mandates mandatory barcode tattoos on citizens' foreheads to enter grocery stores and public parks.,1,politics
Official report indicates: India's space agency ISRO successfully launched the Aditya-L1 spacecraft to study the Sun from the Lagrange point L1.,0,science
Official report indicates: Tokyo Electric Power Company began releasing treated wastewater from the Fukushima Daiichi nuclear power station following IAEA regulatory approval.,0,international
SHARE BEFORE DELETED: EXPOSED: Secret underground tunnels discovered connecting Washington DC directly to the Vatican for covert currency shipments.,1,politics
"In a public statement, officials confirmed that Scientists using the James Webb Space Telescope observed atmospheric water vapor in the inner disk around the young star PDS 70.",0,science
